id,response,respondent_id,timestamp,topic
1,"Working from home has given me incredible flexibility to manage my schedule around family needs",R001,2024-01-15 08:30:00,Flexibility
2,"The lack of commute saves me nearly two hours daily which I now spend exercising",R002,2024-01-15 09:15:00,Commute
3,"I struggle with feeling isolated and miss the spontaneous conversations with colleagues",R003,2024-01-15 10:00:00,Isolation
4,"Video call fatigue is real - back to back meetings leave me completely drained",R004,2024-01-15 11:30:00,Communication
5,"My productivity has increased significantly without office distractions and interruptions",R005,2024-01-15 12:45:00,Productivity
6,"Setting boundaries between work and personal life has become increasingly difficult",R006,2024-01-15 13:20:00,Boundaries
7,"The cost savings from not buying lunch out and commuting are substantial",R007,2024-01-15 14:00:00,Cost
8,"I find it harder to disconnect from work when my office is in my living room",R008,2024-01-15 15:30:00,Boundaries
9,"Collaborating on creative projects feels less dynamic without in-person brainstorming",R009,2024-01-15 16:15:00,Collaboration
10,"Having control over my environment helps me focus better on deep work tasks",R010,2024-01-16 08:00:00,Productivity
11,"I miss the energy of being around motivated colleagues in a shared space",R011,2024-01-16 09:30:00,Isolation
12,"Technology issues during important presentations cause significant stress and anxiety",R012,2024-01-16 10:45:00,Technology
13,"The flexibility to attend medical appointments without taking leave is invaluable",R013,2024-01-16 11:15:00,Flexibility
14,"Building relationships with new team members remotely is challenging and takes longer",R014,2024-01-16 12:00:00,Relationships
15,"My work-life balance has improved dramatically since transitioning to remote work",R015,2024-01-16 13:30:00,Balance
16,"I feel disconnected from company culture and important decisions happening in the office",R016,2024-01-16 14:20:00,Culture
17,"The autonomy to structure my day according to my peak productivity hours is wonderful",R017,2024-01-16 15:00:00,Autonomy
18,"Communication gaps lead to misunderstandings that wouldn't happen face-to-face",R018,2024-01-16 16:30:00,Communication
19,"I can finally live where I want rather than being tied to an expensive city",R019,2024-01-17 08:30:00,Location
20,"The blurring of professional and personal spaces affects my mental wellbeing",R020,2024-01-17 09:00:00,Wellbeing
21,"Remote work has allowed me to be more present for my children's important moments",R021,2024-01-17 10:15:00,Family
