id,response,respondent_id,timestamp,demographic_segment
1,"The product quality is AMAZING!!! I loooove how durable it is &amp; would definately recommend",R001,2024-01-15 09:23:41,Young Adults 18-34
2,"Customer service was   very helpful   they resolved my issue quickly",R002,2024-01-15 10:14:22,Middle Aged 35-54
3,"I've been buying from this brand for years, can't imagine switching to another",R003,2024-01-15 11:05:33,Seniors 55+
4,"The materials used in this product are top-notch. Very impressed with the craftsmanship.",R004,2024-01-15 11:45:18,Middle Aged 35-54
5,"good",R005,2024-01-15 12:01:55,Young Adults 18-34
6,"Staff was soooo friendly and helped me find exactly what I needed!!!",R006,2024-01-15 12:33:27,Young Adults 18-34
7,"Prices are reasonable for teh quality you recieve. Great value for money.",R007,2024-01-15 13:15:44,Seniors 55+
8,"I ALWAYS RECOMMEND THIS BRAND TO MY FRIENDS AND FAMILY",R008,2024-01-15 13:48:21,Middle Aged 35-54
9,"The online shopping experience is very convenient &amp; easy to navigate",R009,2024-01-15 14:22:09,Young Adults 18-34
10,"Love the new features they've added! The technology is cutting edge.",R010,2024-01-15 14:55:36,Young Adults 18-34
11,"Product durability is exceptional - I've had mine for 5 years and it still works perfectly",R011,2024-01-15 15:30:12,Seniors 55+
12,"Called customer support and waited on hold for 45 minutes... not happy",R012,2024-01-15 16:02:48,Middle Aged 35-54
13,"Definately worth the price!!! Best purchase I've made this year",R013,2024-01-15 16:35:19,Young Adults 18-34
14,"Been a loyal customer since 2010. They've never let me down.",R014,2024-01-15 17:08:55,Seniors 55+
15,"Store layout is confusing   hard to find what you're looking for   needs improvement",R015,2024-01-15 17:42:31,Middle Aged 35-54
16,"THE NEW MODEL HAS AMAZING IMPROVEMENTS OVER THE PREVIOUS VERSION",R016,2024-01-15 18:15:07,Young Adults 18-34
17,"ok",R017,2024-01-16 08:23:44,Seniors 55+
18,"The craftsmanship on this item is beautiful. You can tell it's made with care.",R018,2024-01-16 08:56:20,Middle Aged 35-54
19,"Response time from support was greaaaaat! They answered within minutes.",R019,2024-01-16 09:28:56,Young Adults 18-34
20,"A bit pricey but you get what you pay for. Quality is worth it.",R020,2024-01-16 10:01:32,Seniors 55+
21,"I won't buy from anyone else. This brand has earned my trust over the years.",R021,2024-01-16 10:34:08,Middle Aged 35-54
